id,sigla,descripcion,user_id,created_at,updated_at,deleted_at
1,R,Rural,1,2021-09-29 14:11:24.000000,2021-09-29 14:11:24.000000,
2,U,Urbana,1,2021-09-29 14:11:52.000000,2021-09-29 14:11:52.000000,
