id,glb_departamento_id,descripcion,dane,user_id,created_at,updated_at,deleted_at
1,1,Ibague,001,1,2021-09-29 13:47:08.000000,2021-09-29 13:47:08.000000,
2,2,Puerto boyaca,572,1,2021-09-29 13:54:12.000000,2021-09-29 13:54:12.000000,
