id,glb_country_id,descripcion,dane,user_id,created_at,updated_at,deleted_at
1,1,Tolima,73,1,2021-09-28 19:32:05.000000,2021-09-28 19:32:05,
2,1,Boyaca,15,1,2021-09-29 13:53:11.000000,2021-09-29 13:53:11,
