id,glb_comunas_corregimiento_id,descripcion,user_id,created_at,updated_at,deleted_at
158,16,EL SALITRE,1,,,
159,13,EL SECRETO,1,,,
160,7,EL TEJAR,1,,,
161,16,EL TOTUMO,1,,,
162,22,EL TRIUNFO,1,,,
163,25,EL TUNAL,1,,,
164,17,ESTACION,1,,,
165,22,ESTANCIA DEL VERGEL,1,,,
166,25,FABIOLANDIA,1,,,
167,26,FEDERICO LLERAS,1,,,
168,19,FENALCO,1,,,
169,22,FUENTE DE LOS ROSALES,1,,,
170,22,FUENTE DE LOS ROSALES II,1,,,
171,20,GAITAN,1,,,
172,19,GAIT�N PARTE ALTA,1,,,
173,28,GALAN,1,,,
174,5,GAMBOA,1,,,
175,27,GARZON,1,,,
176,24,GERMAN HUERTAS,1,,,
177,29,GRANADA,1,,,
178,23,HACIENDA CAMPESTRE,1,,,
179,23,HACIENDA EL RECREO,1,,,
180,25,HACIENDA PIEDRA PINTADA,1,,,
181,26,HIPODROMO,1,,,
182,3,HONDURAS,1,,,
183,27,INDEPENDIENTE,1,,,
184,28,INDUSTRIAL,1,,,
185,19,INEM,1,,,
186,17,INTERLAKEN,1,,,
187,29,ISLA,1,,,
188,25,IWOKA,1,,,
189,20,JAKARANDA,1,,,
190,24,JARDIN I,1,,,
191,24,JARDIN III,1,,,
192,24,JARDIN PARTE BAJA,1,,,
193,24,"JARDIN SANTANDER I, II Y III",1,,,
194,24,JARDIN VALPARAISO,1,,,
195,29,JAZMIN,1,,,
196,20,JESUS MARIA CORDOBA,1,,,
197,25,JORDAN I ETAPA,1,,,
198,20,JOSE MARIA CORDOBA PARTE BAJA,1,,,
199,6,JUNTAS,1,,,
200,28,KENEDDY,1,,,
201,2,LA  CASCADA,1,,,
202,18,LA AURORA,1,,,
203,22,LA BALSA,1,,,
204,15,LA BELLEZA,1,,,
205,10,LA BETA,1,,,
206,21,LA CAMPI�A,1,,,
207,3,LA CIMA,1,,,
208,24,LA CIMA I,1,,,
209,24,LA CIMA II,1,,,
210,2,LA COQUETA,1,,,
211,14,LA CUEVA,1,,,
212,19,LA ESPERANZA,1,,,
213,9,LA FLOR,1,,,
214,25,LA FLORESTA,1,,,
215,25,LA FLORIDA,1,,,
216,7,LA FLORIDA BAJA,1,,,
217,26,LA FRANCIA,1,,,
218,28,LA GAITANA,1,,,
219,22,LA GAVIOTA,1,,,
220,19,LA GRANJA,1,,,
221,15,LA HELENA,1,,,
222,10,LA ISABELA,1,,,
223,27,LA ISLA,1,,,
224,21,LA LADERA,1,,,
225,3,LA LINDA,1,,,
226,13,LA MARIA COMBEIMA,1,,,
227,13,LA MARIA PIEDRA GRANDE DE LA CIMA,1,,,
228,27,LA MARTINICA,1,,,
229,16,LA MONTA�A,1,,,
230,15,LA PALMILLA,1,,,
231,18,LA PAZ,1,,,
232,1,LA PEDREGOZA,1,,,
233,13,LA PLATA DEL BRILLANTE,1,,,
234,13,LA PLATICA,1,,,
235,10,LA PLUMA,1,,,
236,17,LA POLA,1,,,
237,28,LA PRADERA,1,,,
238,28,LA REFORMA,1,,,
239,18,LA SOFIA,1,,,
240,18,LA TRINIDAD,1,,,
241,29,LA UNI�N,1,,,
242,2,LA VICTORIA,1,,,
243,10,LA VIOLETA,1,,,
244,19,LAS ACACIAS,1,,,
245,27,LAS BRISAS,1,,,
246,29,LAS COLINAS 1,1,,,
247,29,LAS COLINAS 2,1,,,
248,22,LAS DELICIAS,1,,,
249,27,LAS FERIAS,1,,,
250,21,LAS MARGARITAS,1,,,
251,21,LAS ORQU�DEAS,1,,,
252,26,LAS PALMAS,1,,,
253,28,LAS VEGAS,1,,,
254,8,LAURELES,1,,,
255,27,LIBERTAD,1,,,
256,17,LIBERTADOR,1,,,
257,20,LIMONAR,1,,,
258,20,LIMONAR V SECTOR,1,,,
259,13,LLANITOS,1,,,
260,16,LLANO DEL COMBEIMA,1,,,
261,3,LOMA DE COCORA,1,,,
262,22,LOS ALPES,1,,,
263,22,LOS ANGELES,1,,,
264,14,LOS CAUCHOS,1,,,
265,22,LOS CIRUELOS,1,,,
266,22,LOS MANDARINOS,1,,,
267,27,LOS MARTIRES,1,,,
268,23,LOS MUSICOS,1,,,
269,5,LOS NARANJOS,1,,,
270,25,LOS TUNJOS,1,,,
271,21,MACADAMIA,1,,,
272,26,MACARENA PARTE ALTA,1,,,
273,26,MACARENA PARTE BAJA,1,,,
274,26,MAGISTERIO,1,,,
275,18,MALAVAR,1,,,
276,15,MARIA CHINA,1,,,
277,16,MARTINICA,1,,,
278,28,MATAYANA,1,,,
279,26,METAIMA ALTA,1,,,
280,26,METAIMA PARTE BAJA,1,,,
281,9,MINA  VIEJA,1,,,
282,23,MIRADOR DE CANTABRIA,1,,,
283,29,MIRAMAR,1,,,
284,23,MODELIA I,1,,,
285,23,MODELIA II,1,,,
286,26,MONTEALEGRE,1,,,
287,22,MONTEMADERO,1,,,
288,22,MONTEVERDE DEL VERGEL,1,,,
289,3,MORROCHUSCO,1,,,
290,21,MULTICENTRO CLUB,1,,,
291,21,MULTIFAMILIARES EL JORDAN,1,,,
292,21,MULTIFAMILIARES LAS MARGARITAS,1,,,
293,28,MURILLO TORO,1,,,
294,24,MUSICALIA,1,,,
295,26,NACIONAL,1,,,
296,26,NACIONES UNIDAS,1,,,
297,23,NAZARET I,1,,,
298,23,NAZARET II,1,,,
299,23,NUEVA BILBAO,1,,,
300,20,OBRERO,1,,,
301,20,ONZAGA,1,,,
302,18,PABLO SEXTO,1,,,
303,24,PALERMO,1,,,
304,22,PALMA DEL VERGEL,1,,,
305,18,PARAISO,1,,,
306,22,PASEO DE SAN FRANCISCO,1,,,
307,13,PASTALES,1,,,
308,8,PASTOS COCORA,1,,,
309,23,PEDRO IGNACIO VILLA MARIN,1,,,
310,5,PE�ARANDA ALTA,1,,,
311,5,PE�ARANDA BAJA,1,,,
312,27,PE�ON,1,,,
313,5,PERICO,1,,,
314,25,PICALE�A,1,,,
315,9,PICALE�A SECTOR RURAL,1,,,
316,25,PICA�ELITA,1,,,
317,13,PICO DE ORO,1,,,
318,2,PIE DE CUESTA,1,,,
319,20,PIEDRA PINTADA,1,,,
320,20,PIJAO,1,,,
321,22,PLAZAS DEL BOSQUE,1,,,
322,17,POLA PARTE ALTA,1,,,
323,27,POPULAR,1,,,
324,25,PORTAL DE LOS TUNJOS,1,,,
325,24,PORTAL DEL JARDIN,1,,,
326,22,PORTAL DEL VERGEL,1,,,
327,16,POTRERO GRANDE,1,,,
328,21,PRADOS DEL NORTE,1,,,
329,22,PRIMAVERA DE ENTRE RIOS,1,,,
330,27,PRIMERO DE MAYO,1,,,
331,17,PUEBLO NUEVO,1,,,
332,10,PUENTE TIERRA,1,,,
333,13,PUERTO PERU,1,,,
334,12,QUEBRADAS,1,,,
335,13,RAMOS Y ASTILLEROS,1,,,
336,25,RESERVAS DE SANTA RITA,1,,,
337,25,RESERVAS DEL CAMPESTRE,1,,,
338,24,RESERVAS DEL JARDIN,1,,,
339,22,RESERVAS DEL PEDREGAL,1,,,
340,20,RESTREPO,1,,,
341,28,RICAURTE,1,,,
342,21,RINC�N DE LA CAMPI�A,1,,,
343,25,RINCON DE LAS AMERICAS,1,,,
344,22,RINCON DE SAN FRANCISCO,1,,,
345,22,RINCON DEL BOSQUE,1,,,
346,25,RINCON DEL CAMPESTRE,1,,,
347,22,RINCON DEL PEDREGAL I,1,,,
348,22,RINCON DEL PEDREGAL II,1,,,
349,22,RINCON DEL VERGEL,1,,,
350,20,RINCON PIEDRA PINTADA,1,,,
351,24,ROBERTO AUGUSTO CALDERON,1,,,
352,9,RODEITO,1,,,
353,27,RODRIGUEZ ANDRADE,1,,,
354,28,ROSA BADILLO,1,,,
355,23,ROSALES DE TAHILANDIA,1,,,
356,8,SALITRE COCORA,1,,,
357,3,SAN  ISIDRO,1,,,
358,22,SAN ANTONIO,1,,,
359,9,SAN BERNARDO,1,,,
360,20,SAN CARLOS,1,,,
361,26,SAN CAYETANO,1,,,
362,3,SAN CRISTOBAL,1,,,
363,18,SAN DIEGO,1,,,
364,25,SAN FRANCISCO,1,,,
365,24,SAN GELATO,1,,,
366,29,SAN ISIDRO,1,,,
367,21,SAN JACINTO,1,,,
368,10,SAN JUAN DE LA CHINA,1,,,
369,20,SAN LUIS,1,,,
370,23,SAN PABLO,1,,,
371,17,SAN PEDRO ALEJANDRINO,1,,,
372,8,SAN RAFAEL,1,,,
373,25,SAN REMO,1,,,
374,3,SAN SIMON BAJO,1,,,
375,19,SAN SIM�N PARTE ALTA,1,,,
376,19,SAN SIM�N PARTE BAJA,1,,,
377,27,SAN VICENTE DE PAUL,1,,,
378,23,SANTA ANA,1,,,
379,18,SANTA BARBARA,1,,,
380,23,SANTA CATALINA,1,,,
381,18,SANTA CRUZ,1,,,
382,26,SANTA HELENA,1,,,
383,9,SANTA RITA,1,,,
384,2,SANTA TERESA,1,,,
385,26,SANTANDER,1,,,
386,28,SANTOFIMIO,1,,,
387,23,SECTOR LOS ALPES,1,,,
388,22,SENDEROS DE MINEIMA,1,,,
389,0,SIN CLASIFICAR,1,,,
390,20,SORRENTO,1,,,
391,5,TAMBO,1,,,
392,11,TAPIAS,1,,,
393,29,TERRAZAS DE BOQUER�N,1,,,
394,22,TIERRA LINDA DEL VERGEL,1,,,
395,23,TIMAKA,1,,,
396,12,TOCHE,1,,,
397,24,TOPACIO,1,,,
398,22,TORRE FUENTE DE LOS ROSALES,1,,,
399,21,TORRE LADERA,1,,,
400,20,TORREON DE PIEDRAPINTADA,1,,,
401,22,TORRES DE LA CALLEJA,1,,,
402,20,TOSCANA,1,,,
403,13,TRES ESQUINAS,1,,,
404,20,TRIUNFO,1,,,
405,24,TULIO VARON,1,,,
406,23,UBR PRADERAS DEL NORTE,1,,,
407,24,UNIDAD RESIDENCIAL CARABINEROS,1,,,
408,24,URB 2 DE JUNIO,1,,,
409,24,URB AGUA MARINA,1,,,
410,23,URB ALAMEDA,1,,,
411,23,URB ALBERTO LLERAS C,1,,,
412,22,URB ALTOS DE AMBALA,1,,,
413,24,URB ALTOS DE VASCONIA,1,,,
414,22,URB ALTOS DEL PEDREGAL,1,,,
415,22,URB AMBALA,1,,,
416,23,URB AMBIKAIMA,1,,,
417,22,URB ANTARES I,1,,,
418,22,URB ANTARES II,1,,,
419,24,URB ANTONIO MARIA,1,,,
420,28,URB ARKAIMA,1,,,
421,22,URB ARKALA I,1,,,
422,22,URB ARKALA II,1,,,
423,22,URB ARKAMBUCO I,1,,,
424,25,URB BOSQUE DE VARSOVIA,1,,,
425,24,URB BRISAS DE VASCONIA,1,,,
426,24,URB BUENAVENTURA GARCIA,1,,,
427,23,URB CANTABRIA,1,,,
428,25,URB CHAQUEN,1,,,
429,22,URB CHICALA,1,,,
430,24,URB CIUDAD BLANCA,1,,,
431,25,URB CIUDAD LUZ,1,,,
432,22,URB COLINAS DEL NORTE,1,,,
433,23,URB COMFATOLIMA,1,,,
434,25,URB COMFENALCO,1,,,
435,25,URB COOPDIASAM,1,,,
436,25,URB CUTUCUMAY,1,,,
437,23,URB DIANA MILAIDY,1,,,
438,28,URB DIVINO NI�O,1,,,
439,23,URB EL DORADO,1,,,
440,23,URB EL LIMON,1,,,
441,23,URB EL PALMAR,1,,,
442,24,URB EL PALMAR I,1,,,
443,24,URB EL PALMAR II,1,,,
444,25,URB EL POBLADO,1,,,
445,24,URB EL PRADO I,1,,,
446,24,URB EL PRADO II,1,,,
447,22,URB ENTRE RIOS,1,,,
448,22,URB ENTRE RIOS II,1,,,
449,23,URB FUENTE DEL SALADO,1,,,
450,23,URB FUENTE SANTA,1,,,
451,22,URB FUNTE DE LOS ROSALES I,1,,,
452,22,URB GIRASOL,1,,,
453,22,URB IBAGUE 2000,1,,,
454,24,URB JARDIN ATOLSURE,1,,,
455,24,URB JARDIN AV,1,,,
456,24,URB JARDIN CHIPALO,1,,,
457,24,URB JARDIN CHIPALO  II,1,,,
458,24,URB JARDIN II,1,,,
459,24,URB JARDIN PORVENIR,1,,,
460,24,URB JARDIN VI,1,,,
461,24,URB JARDINES DEL CAMPO,1,,,
462,23,URB LA CABA�A,1,,,
463,23,URB LA CANDELARIA,1,,,
464,23,URB LA CEIBA NORTE,1,,,
465,24,URB LA ESMERALDA,1,,,
466,23,URB LA FLORESTA,1,,,
467,23,URB LA VICTORIA,1,,,
468,23,URB LADY DI,1,,,
469,24,URB LAS ACACIAS,1,,,
470,25,URB LAS AMERICAS,1,,,
471,25,URB LAS FLORES,1,,,
472,22,URB LOS CAMBULOS,1,,,
473,24,URB LOS COMUNEROS,1,,,
474,22,URB LOS GUALANDAYES,1,,,
475,23,URB LOS LAGOS,1,,,
476,24,URB LOS LAURELES,1,,,
477,24,URB LOS PINOS,1,,,
478,25,URB LOS REMANSOS,1,,,
479,25,URB MIRAFLORES,1,,,
480,23,URB MONTE CARLOS II,1,,,
481,24,URB NUEVA CASTILLA,1,,,
482,24,URB NUEVA COLOMBIA,1,,,
483,24,URB NUEVO ARMERO,1,,,
484,24,URB NUEVO COMBEIMA,1,,,
485,25,URB NUEVO HORIZONTE,1,,,
486,23,URB OVIEDO,1,,,
487,23,URB PACANDE,1,,,
488,23,URB PALMA DEL RIO,1,,,
489,23,URB PALO GRANDE,1,,,
490,22,URB PEDREGAL,1,,,
491,25,URB PORTAL CAMPESTRE,1,,,
492,24,URB PORTAL DE ARKALA,1,,,
493,23,URB PORTALES DEL NORTE,1,,,
494,25,URB PRADERAS DE SANTA RITA,1,,,
495,24,URB PROTECHO,1,,,
496,24,URB QUINTA AV,1,,,
497,23,URB RESERVAS DE CANTABRIA,1,,,
498,23,URB SAN LUIS,1,,,
499,23,URB SAN LUIS GONZAGA,1,,,
500,23,URB SAN LUISU,1,,,
501,23,URB SAN PABLO,1,,,
502,23,URB SAN SEBASTIAN,1,,,
503,23,URB SANTA CATALINA I,1,,,
504,23,URB SANTA COLOMA,1,,,
505,23,URB SANTA MONICA,1,,,
506,23,URB SHADDI,1,,,
507,25,URB TAHITI,1,,,
508,28,URB TERRAZAS DEL TEJAR,1,,,
509,23,URB TERRITORIO DE PAZ,1,,,
510,23,URB TIERRA FIRME,1,,,
511,24,URB TOLIMA GRANDE,1,,,
512,25,URB VARSOVIA,1,,,
513,24,URB VASCONIA,1,,,
514,24,URB VASCONIA RESERVADO,1,,,
515,25,URB VILLA ARKADIA,1,,,
516,23,URB VILLA BRASILIA,1,,,
517,25,URB VILLA CAF�,1,,,
518,23,URB VILLA CAMILA,1,,,
519,23,URB VILLA CARA II,1,,,
520,23,URB VILLA CINDY,1,,,
521,23,URB VILLA CLARA I,1,,,
522,25,URB VILLA DE LA CANDELARIA,1,,,
523,24,URB VILLA DEL NORTE,1,,,
524,24,URB VILLA DEL PALMAR,1,,,
525,24,URB VILLA DEL SOL,1,,,
526,24,URB VILLA ESPERANZA,1,,,
527,24,URB VILLA JARDIN,1,,,
528,23,URB VILLA JULIETA,1,,,
529,24,URB VILLA LA PAZ,1,,,
530,25,URB VILLA LUZ,1,,,
531,24,URB VILLA MAGDALENA,1,,,
532,24,URB VILLA MARCELA,1,,,
533,22,URB VILLA PATRICIA,1,,,
534,23,URB VILLA ROCIO,1,,,
535,23,URB VILLA SULAY,1,,,
536,22,URB VILLA VANESA,1,,,
537,24,URB VILLA VICENTINA,1,,,
538,25,URB VILLA YULI,1,,,
539,21,URB. AIMARA I,1,,,
540,21,URB. AIMARA II,1,,,
541,24,URB. LA ESMERALDA,1,,,
542,21,URB. RINCON DE LAS MARGARITAS,1,,,
543,28,URB. VILLA RICAURTE,1,,,
544,21,URBANIZACION LOS OCOBOS,1,,,
545,21,URBANIZACION LOS PARRALES,1,,,
546,21,URBANIZACION MILENIUM I Y II,1,,,
547,21,URBANIZACION YACAIRA,1,,,
548,27,URIBE URIBE,1,,,
549,25,VALPARAISO I,1,,,
550,25,VALPARAISO II,1,,,
551,25,VALPARAISO III,1,,,
552,25,VALPARAISO IV,1,,,
553,28,VENECIA,1,,,
554,25,VERSALLES,1,,,
555,18,VI BRIGADA,1,,,
556,18,VILLA ADRIANA,1,,,
557,25,VILLA CARVAJALITA,1,,,
558,28,VILLA CLAUDIA,1,,,
559,24,VILLA CRISTALES,1,,,
560,25,VILLA DE GUARALA,1,,,
